Marca de Tiempo, KBps Enviados, KBps Recibidos
13:32:03,15.73,594.98
13:32:04,121.92,679.77
13:32:05,0.95,8.74
13:32:06,0.00,1.02
13:32:08,0.00,6.95
13:32:09,0.43,4.05
13:32:10,0.00,9.68
13:32:11,4.42,31.79
13:32:12,4.68,71.13
13:32:13,9.84,22.58
13:32:14,0.00,8.78
13:32:15,35.92,496.34
13:32:16,39.25,106.79
13:32:17,0.00,12.24
13:32:18,5.56,55.73
13:32:19,3.74,50.74
13:32:20,16.67,68.19
13:32:21,1.18,6.87
13:32:22,0.00,2.66
13:32:23,0.43,2.26
13:32:24,13.05,56.93
13:32:25,9.31,53.23
13:32:26,0.43,3.18
13:32:27,0.95,8.91
13:32:28,2.38,10.21
13:32:29,24.28,6.23
13:32:30,3.75,58.08
13:32:31,0.84,1.66
13:32:32,4.59,55.19
13:32:33,3.72,12.05
13:32:34,3.74,53.98
13:32:35,0.00,3.39
13:32:36,4.27,64.14
13:32:37,0.00,1.70
13:32:38,4.59,55.60
13:32:39,0.00,23.55
13:32:40,2.03,5.70
13:32:41,0.00,1.28
13:32:42,0.52,5.27
13:32:43,8.24,96.73
13:32:44,0.00,2.11
13:32:45,3.48,19.52
13:32:46,0.00,5.02
13:32:47,1.39,10.91
13:32:48,11.23,151.92
13:32:50,0.43,9.41
13:32:51,0.00,7.14
13:32:52,0.00,5.63
13:32:53,4.55,2.29
13:32:54,4.16,20.66
13:32:55,0.00,13.08
13:32:56,6.05,76.71
13:32:57,3.65,50.02
13:32:58,0.00,12.29
13:32:59,0.00,1.84
13:33:00,0.43,12.66
13:33:01,34.95,78.56
13:33:02,24.61,48.58
13:33:03,17.47,154.45
13:33:04,0.65,29.92
13:33:05,89.50,468.46
13:33:06,2.57,5.59
13:33:07,0.00,0.00
13:33:08,0.00,4.26
13:33:09,0.00,6.15
13:33:10,7.77,77.40
13:33:11,0.84,49.57
